ind,site,rohan_unclass,rohan_roh,rohan_theta,theta_lo,theta_hi
1065,BWWA4,3.11046,0,0.00248059,0.00205466,0.00298591
1245,CHIK1,6.01113,0.0679348,0.00171672,0.00161034,0.00213287
1325,CHIK19,5.89255,0.0872347,0.00180667,0.00168759,0.0022463
1381,CHIK29,5.67363,0.0193405,0.0018407,0.00167538,0.00223287
1571,CHN7,4.67025,0.162664,0.0022035,0.00177171,0.00271403
1704,CIMAD,5.62802,0,0.00189106,0.00151991,0.00234325
1879,ENESC,6.79559,0,0.00124258,0.000987523,0.00154443
1911,GOOSECREEKHWY11,3.2108,0,0.00252086,0.00202578,0.00305537
1942,KAWN,4.11384,0,0.00234199,0.00195281,0.00281064
1959,KC160,4.73411,0,0.00198526,0.00166561,0.00239278
2042,MLR3,5.50944,0.453712,0.00207288,0.00167737,0.00255294
2076,MLRBB,3.49357,0,0.00233233,0.00196847,0.00277239
2225,NESS2,8.6199,0.0499102,0.00109403,0.00101015,0.00145861
2245,NESS3,9.56855,0.0201735,0.00113239,0.001009,0.0014501
2362,OKLA,4.76147,0,0.00194585,0.00172908,0.00240815
2499,RATTLE1,7.36112,0,0.00155402,0.00125491,0.00192957
2752,SFNR4,2.80033,0,0.00271613,0.00230105,0.00321234
2859,SPNGR1,1.55979,0.00926612,0.00416446,0.00377216,0.00450219
2865,SPRINGSG,4.72498,0.0957396,0.00222551,0.00194263,0.002734
3079,ZBAR1,6.51282,0,0.00154847,0.0012017,0.00194802
3088,FISHWAY,6.55842,0,0.00166132,0.00132578,0.00207373
Ecr039,BSC,10.0702,0,0.000862658,0.000690669,0.00114815
Ecr080,UTFC,10.1067,0,0.000779359,0.000582782,0.00103135
926,ARK9,7.63477,0.108631,0.0013005,0.00112091,0.00167743