"","X","site","meta","long","lat","het","col","upstream","fprop","wprop","gprop","dprop","cprop"
"1",1,"SRC","Colorado",-103.7785998,38.950186,0.0613696193934729,"#E8FF00",298976.283717786,0,0.0745412844036697,0.69954128440367,0.00630733944954128,0.104071100917431
"3",15,"VDRW","Colorado",-102.657473,38.111934,0.0837729407055975,"#E8FF00",69605.0884389569,0,0.263565891472868,0.121159919609532,0.0608670686190066,0.530577088716624
"4",23,"WHC","Colorado",-102.1396272,38.124478,0.0759064228397386,"#E8FF00",0,0.000860338399770576,0.0553484370519071,0.368798394034987,0.0183538858617723,0.114138227702896
"5",33,"WMVD","Colorado",-102.618291,38.202576,0.081456881235479,"#E8FF00",69006.7437132235,0,0.00229160698940132,0.00143225436837582,0.0968203953022057,0.893153824119164
"6",40,"USBC","Colorado",-102.3138676,38.102932,0.0783941402457298,"#E8FF00",33772.0960159729,0.000286286859433152,0.29430289149728,0.128542799885485,0.0352132837102777,0.469510449470369
"7",50,"RC2","Colorado",-103.4850677,38.849166,0.0518930230968977,"#E8FF00",256761.787250539,0,0.0212216805276742,0.896759392027531,0.037281330656725,0
"8",58,"UTFC2","Colorado",-104.7215483,38.679607,0.049123274566079,"#E8FF00",379513.715723355,0.00111982082866741,0.0795072788353863,0.425531914893617,0.299552071668533,0
"9",63,"BSQ","Colorado",-104.389195,38.44121,0.0512561262375663,"#E8FF00",0,0,0.0289896670493685,0.954936854190585,0,0
"10",73,"HCR","Colorado",-104.809034,39.497818,0.122087262539292,"#E8FF00",0,0,0,0.589275527666857,0.376497432972048,0
"11",78,"2008-24","NFNinnescah",-97.86792,37.74844,0.248282199422523,"#5D00FF",29631.0259576468,0.0453767123287671,0.00371004566210046,0.587043378995434,0.0559360730593607,0.30736301369863
"12",88,"4THST","LowerArk",-97.99403,38.05728,0.0928659286592866,"#00B9FF",195253.365501907,0.0616045845272206,0.167335243553009,0.451289398280802,0.224928366762178,0.0819484240687679
"13",90,"AMBER2","Medicine",-98.61732,37.44715,0.214754029789448,"#00FF2E",66718.2457992946,0.0588404133180253,0.06601607347876,0.675086107921929,0.0324339839265212,0.167623421354765
"14",98,"ARK10","LowerArk",-98.49562,38.31265,0.163810735343748,"#00B9FF",262565.640047719,0.0406294706723891,0.0523605150214592,0.44549356223176,0.0452074391988555,0.416309012875536
"15",108,"ARK11","LowerArk",-98.27055,38.19434,0.166613938101777,"#00B9FF",230302.174169177,0.0306326939593473,0.0558259375894646,0.605210420841683,0.0397938734612081,0.268250787288863
"16",118,"ARK13","LowerArk",-97.36924,37.69531,0.155592887757581,"#00B9FF",113125.449458431,0.00429307384087006,0.0403548941041786,0.0331997710360618,0.859473382942187,0
"17",127,"ARK14","LowerArk",-97.36298,37.70825,0.120079950799508,"#00B9FF",114987.226852401,0.0355300859598854,0.066189111747851,0.026647564469914,0.845558739255014,0.000573065902578797
"18",129,"ARK15","LowerArk",-97.28796,37.56599,0.130842558425584,"#00B9FF",91763.7194372428,0.188555078683834,0.16137339055794,0.350214592274678,0.203719599427754,0.0889842632331903
"19",131,"ARK16","LowerArk",-98.2065,38.16953,0.150415273838113,"#00B9FF",222175.368224162,0.0297738333810478,0.065845977669625,0.489264242771257,0.0397938734612081,0.3687374749499
"20",139,"ARK17","LowerArk",-98.11185,38.14462,0.145726613728722,"#00B9FF",211342.401686014,0.0694404591104735,0.0619799139167862,0.629842180774749,0.0284074605451937,0.209756097560976
"21",148,"ARK18","LowerArk",-98.08771,38.13102,0.149600842181891,"#00B9FF",208329.247406406,0.0358371559633028,0.150229357798165,0.630160550458716,0.0544724770642202,0.12098623853211
"22",156,"ARK19","LowerArk",-97.866691,37.984674,0.157321989886566,"#00B9FF",180002.06840827,0.120699541284404,0.0642201834862385,0.30848623853211,0.0323967889908257,0.470470183486239
"23",162,"ARK22","LowerArk",-97.30173,37.58532,0.148216482164822,"#00B9FF",94795.3599903868,0.118338108882521,0.0902578796561605,0.283094555873926,0.18567335243553,0.308022922636103
"24",165,"ARK23","LowerArk",-97.29301,37.57336,0.137607626076261,"#00B9FF",92844.5391406384,0.125573394495413,0.143635321100917,0.415997706422018,0.173738532110092,0.122419724770642
"25",167,"ARK4","LowerArk",-98.684,38.35282,0.129690276069427,"#00B9FF",286601.104801051,0.0810423825887743,0.115406643757159,0.13717067583047,0.0117411225658648,0.654639175257732
"26",172,"ARK5","LowerArk",-98.58244,38.33884,0.117773677736777,"#00B9FF",274225.960185066,0.0750071571714858,0.141425708559977,0.222731176638992,0.0649871170913255,0.488405382192957
"27",174,"ARK6","LowerArk",-98.46499,38.29079,0.157815812204796,"#00B9FF",257829.339819135,0.0191812195820212,0.054680790151732,0.556255367878614,0.0509590609791011,0.316919553392499
"28",184,"ARK7","LowerArk",-98.41589,38.26933,0.135395270061922,"#00B9FF",250650.557603601,0.0839782172542276,0.0435654915448553,0.386070507308684,0.0888506735454285,0.390083118372026
"29",193,"ARK8","LowerArk",-98.36144,38.23219,0.167506542865882,"#00B9FF",242291.308919701,0.0567660550458716,0.0538990825688073,0.624426605504587,0.0430045871559633,0.219896788990826
"30",202,"ARK9","LowerArk",-98.3203,38.20866,0.152749297135828,"#00B9FF",235823.972854273,0.0243553008595989,0.0461318051575931,0.574785100286533,0.0467048710601719,0.288252148997135
"31",211,"BIGSAND","Cimarron",-99.78689,37.04468,0.179462211288779,"#FF8B00",46520.889116025,0,0.0123103349556255,0.916976810764386,0.0283423990838821,0
"32",214,"BLUFF","Cimarron",-99.68433,37.3077,0.219378763600561,"#FF8B00",61400.4689441333,0,0.00601374570446735,0.719072164948454,0.0423825887743414,0.232531500572738
"33",222,"BLUFF160","Cimarron",-99.50246,37.19238,0.201025864425311,"#FF8B00",29958.2195627165,0,0.00372599598738894,0.762396102034967,0.0375465749498424,0.196331327027802
"34",226,"BLUFFTW","Cimarron",-99.477247,37.02709,0.197666905835725,"#FF8B00",4131.17033903521,0,0.0143225436837582,0.937553709538814,0.0415353766828989,0.00630191922085362
"35",231,"BWWA1","SFNinnescah",-98.27871,37.65186,0.300307161404947,"#5D00FF",98749.0721336798,0.294691535150646,0.072596843615495,0.569296987087518,0.042467718794835,0.0195121951219512
"36",237,"BWWA10","SFNinnescah",-98.254876,37.644541,0.270688125678498,"#5D00FF",95442.1942211357,0.110154905335628,0.113310384394722,0.560240963855422,0.0470453241537579,0.168674698795181
"37",247,"BWWA11","SFNinnescah",-98.26425,37.64511,0.272616898235309,"#5D00FF",96233.4570139099,0.168671248568156,0.156930126002291,0.475945017182131,0.034077892325315,0.163802978235968
"38",257,"BWWA12","SFNinnescah",-98.25762,37.6431,0.270189243389033,"#5D00FF",95495.1364258476,0.125966218150587,0.108502719725165,0.513312338963642,0.0392212997423418,0.212424849699399
"39",266,"BWWA2","SFNinnescah",-98.27998,37.65656,0.2784035703594,"#5D00FF",98725.0196216257,0.229512893982808,0.0521489971346705,0.63810888252149,0.039541547277937,0.0392550143266476
"40",276,"BWWA3","SFNinnescah",-98.28032,37.65772,0.26743334537701,"#5D00FF",98907.5406050166,0.224231983921906,0.0401952339936836,0.651449899511915,0.0410565604364054,0.0416307780648866
"41",285,"BWWA4","SFNinnescah",-98.27396,37.65816,0.275490563862555,"#5D00FF",98155.7713729075,0.300573065902579,0.0974212034383954,0.522063037249284,0.0358166189111748,0.0438395415472779
"42",294,"BWWA5","SFNinnescah",-98.26528,37.66079,0.273348871090279,"#5D00FF",98216.7910059207,0.225307758373891,0.199255654165474,0.507872888634412,0.0289149728027484,0.0380761523046092
"43",304,"BWWA6","SFNinnescah",-98.27589,37.65286,0.263635639982156,"#5D00FF",98083.873887612,0.315608919382504,0.102915951972556,0.517152658662093,0.0371640937678674,0.0257289879931389
"44",314,"BWWA7","SFNinnescah",-98.33222,37.63909,0.271349111828231,"#5D00FF",109592.774444685,0.0717360114777618,0.0513629842180775,0.732568149210904,0.0318507890961263,0.111908177905308
"45",324,"BWWA8","SFNinnescah",-98.30518,37.63691,0.272552242982747,"#5D00FF",103581.140952627,0.0822114007447723,0.0578630764823833,0.842738470352335,0.00916642795760527,0.00802062446290461
"46",334,"BWWA9","SFNinnescah",-98.30233,37.64219,0.262008486666499,"#5D00FF",103708.317930103,0.12046817013988,0.0405366828432772,0.819012275192692,0.0199828718241507,0
"47",342,"CAL160","Cimarron",-99.459615,37.192492,0.23008979415191,"#FF8B00",27056.283590416,0,0.00372920252438325,0.837062535857717,0.0390131956397017,0.120195065978199
"48",351,"CARYP","LowerArk",-97.92588,38.0271,0.140027323147381,"#00B9FF",187748.204759667,0.0223752151462995,0.085197934595525,0.211130235226621,0.62736660929432,0.0261044176706827
"49",360,"CAV1","Cimarron",-99.34599,37.26467,0.221213798853786,"#FF8B00",44632.4318705431,0,0.0971428571428571,0.778285714285714,0.0582857142857143,0.066
"50",370,"CAV2","Cimarron",-99.35143,37.2383,0.207292656522087,"#FF8B00",41117.6467687923,0.0146173688736028,0.243622814560046,0.692748638578389,0.0472914875322442,0
"51",379,"CCBS","Cimarron",-100.161843,37.01395,0.202621463714637,"#FF8B00",94885.6703543844,0,0.00171673819742489,0.997424892703863,0.000858369098712446,0
"52",384,"CCDC","LowerArk",-97.96673,38.07059,0.154255500888342,"#00B9FF",195044.540513994,0.0283748925193465,0.0315276583548295,0.312123817712812,0.451418744625967,0.174261966179421
"53",393,"CHIK1","Chikaskia",-98.44981,37.51486,0.182641109744431,"#FF0000",105093.854289621,0.0105895821408128,0.00228963938179737,0.46508299942759,0.0380652547223812,0.483400114481969
"54",399,"CHIK10","Chikaskia",-98.08385,37.45729,0.221347289587786,"#FF0000",59624.7883060288,0.0835001429796969,0.00171575636259651,0.686302545038605,0.0712038890477552,0.156991707177581
"55",408,"CHIK11","Chikaskia",-98.0815,37.44556,0.233907951873972,"#FF0000",58173.5164578355,0.11426116838488,0.0352233676975945,0.645189003436426,0.0515463917525773,0.152348224513173
"56",424,"CHIK12","Chikaskia",-98.05421,37.42858,0.184741014076807,"#FF0000",56495.3030358081,0.0818260120585702,0.0129198966408269,0.517944300890037,0.0381854722939994,0.348837209302326
"57",427,"CHIK13","Chikaskia",-98.04478,37.43978,0.208479426831778,"#FF0000",54433.4660790039,0.104405034324943,0.0374713958810069,0.675343249427918,0.033466819221968,0.149027459954233
"58",436,"CHIK14","Chikaskia",-98.02432,37.45803,0.169280442804428,"#FF0000",53037.3235920531,0.0472643941564022,0.00114580349470066,0.804640504153538,0.0366657118304211,0.110283586364938
"59",438,"CHIK15","Chikaskia",-98.00928,37.45808,0.178317616509498,"#FF0000",52433.048942363,0.0979160719383386,0.00913502711961176,0.807022552098202,0.0436768484156437,0.0416785612332287
"60",441,"CHIK16","Chikaskia",-97.9898,37.4384,0.180796774634413,"#FF0000",48978.5537272315,0.163943823445113,0.0461450272284322,0.647176841501863,0.0200630553167097,0.122671252507882
"61",446,"CHIK17","Chikaskia",-97.90465,37.36702,0.206974340576739,"#FF0000",35283.2563887735,0.0499139414802065,0.04245553643144,0.520080321285141,0.0550774526678141,0.330464716006885
"62",452,"CHIK18","Chikaskia",-97.85062,37.37137,0.176537002870029,"#FF0000",34106.7294085805,0.0512893982808023,0,0.691977077363897,0.0455587392550143,0.210888252148997
"63",457,"CHIK19","Chikaskia",-97.86757,37.34221,0.194619654955053,"#FF0000",30343.5389921506,0.067830566685747,0.0363480251860332,0.79593589009731,0.025186033199771,0.0721236405266171
"64",465,"CHIK2","Chikaskia",-98.44658,37.51179,0.174153341533415,"#FF0000",105093.854289621,0.0106017191977077,0.00315186246418338,0.563037249283668,0.0363896848137536,0.385959885386819
"65",470,"CHIK21","Chikaskia",-97.80236,37.25002,0.186227278939456,"#FF0000",18496.3795283773,0.0180464050415354,0.000286450873675165,0.26955027212833,0.0335147522199943,0.678602119736465
"66",473,"CHIK22","Chikaskia",-97.83985,37.30439,0.170049200492005,"#FF0000",24895.5225656309,0.0449985669246202,0.00171969045571797,0.333906563485239,0.0312410432788765,0.588134135855546
"67",477,"CHIK23","Chikaskia",-97.80837,37.28528,0.220528999494681,"#FF0000",20609.1822520187,0.163943823445113,0.106620808254514,0.523072513614216,0.0212095156205216,0.175695041559186
"68",489,"CHIK24","Chikaskia",-97.767251,37.246785,0.164360393603936,"#FF0000",13718.278651658,0.146865158889207,0.0738620097337532,0.399083882049814,0.0343544231319782,0.345548239335814
"69",491,"CHIK25","Chikaskia",-97.76067,37.244,0.189746390150976,"#FF0000",13030.2456402403,0.0961923847695391,0.0684225594045233,0.399942742628113,0.0309189808187804,0.399083882049814
"70",499,"CHIK26","Chikaskia",-97.77969,37.25621,0.19312247843992,"#FF0000",15739.9450880271,0.287926584456553,0.0473186119873817,0.488672211069687,0.0318325207915113,0.143963292228276
"71",507,"CHIK27","Chikaskia",-97.70844,37.25624,0.203891622249556,"#FF0000",0,0.116604744212632,0.00257216347527865,0.149185481566162,0.0417262074878537,0.689054015432981
"72",510,"CHIK3","Chikaskia",-98.42821,37.48528,0.185050054667213,"#FF0000",103521.37894227,0.0690742333046718,0.00458584121524792,0.560619088564059,0.0200630553167097,0.344224706219547
"73",516,"CHIK4","Chikaskia",-98.37337,37.47151,0.176760272938614,"#FF0000",93689.5060040041,0.0828317569504156,0.0243622814560046,0.531957580968759,0.0289481226712525,0.331900257953568
"74",525,"CHIK5","Chikaskia",-98.33998,37.48581,0.155135301353014,"#FF0000",88358.2569200656,0.0619088564058469,0.0189165950128977,0.581541989108627,0.0306678131269705,0.306391516193752
"75",527,"CHIK6","Chikaskia",-98.2821,37.47369,0.215248344031821,"#FF0000",80625.8794148806,0.099942726231386,0.00515463917525773,0.6368843069874,0.0323596792668958,0.225658648339061
"76",545,"CHIK7","Chikaskia",-98.20168,37.44685,0.20555608810765,"#FF0000",70987.8625639743,0.0380652547223812,0.00400686891814539,0.870635374928449,0.0320549513451631,0.0549513451631368
"77",554,"CHIK8","Chikaskia",-98.18209,37.4714,0.200819859542605,"#FF0000",72216.1449143226,0.0254649499284692,0.00257510729613734,0.751359084406295,0.0309012875536481,0.189699570815451
"78",563,"CHIK9","Chikaskia",-98.1632,37.43876,0.207770777027498,"#FF0000",66909.4370297522,0.112478534630796,0.0165998855180309,0.767029192902118,0.0655409273039496,0.0326273611906125
"79",571,"CHN1","NFNinnescah",-97.91703,37.83875,0.248788548965894,"#5D00FF",37012.146614201,0.179215574005153,0.0543945032922989,0.548525622673919,0.0148869166905239,0.202691096478672
"80",580,"CHN10","NFNinnescah",-97.897718,37.815516,0.25384942599426,"#5D00FF",32664.8169865634,0.281904215658159,0.367651276168626,0.219673071408087,0.0438772583882994,0.0868941783768282
"81",586,"CHN2","NFNinnescah",-97.83884,37.72523,0.257305711263367,"#5D00FF",23681.813432104,0.0994269340974212,0.15214899713467,0.522063037249284,0.139828080229226,0.0862464183381089
"82",596,"CHN3","NFNinnescah",-97.89163,37.77217,0.264931246740188,"#5D00FF",29612.0008988566,0.0749856897538638,0.0961648540354894,0.495993131081855,0.0615340583858042,0.271322266742988
"83",605,"CHN4","NFNinnescah",-97.87919,37.75976,0.251058664753314,"#5D00FF",28939.2434108105,0.068689181453921,0.124212936462507,0.494275901545507,0.0372066399542072,0.274470520892959
"84",611,"CHN5","NFNinnescah",-97.84568,37.73985,0.24061688533552,"#5D00FF",24459.182065334,0.04779622209502,0.305094447624499,0.543216943331425,0.0890097309673726,0.0134516313680595
"85",620,"CHN6","NFNinnescah",-97.82925,37.72228,0.259658748094473,"#5D00FF",22748.4336318675,0.0613004869664852,0.388140933829848,0.382411916356345,0.152391864795188,0.0154683471784589
"86",630,"CHN7","NFNinnescah",-97.89909,37.8251,0.215405904059041,"#5D00FF",33654.8778209484,0.29524627720504,0.16008018327606,0.336769759450172,0.0738831615120275,0.133161512027491
"87",639,"CHN8","NFNinnescah",-97.90273,37.802728,0.224374743747437,"#5D00FF",32535.5680854101,0.261952476381334,0.195820211852276,0.221013455482393,0.0251932436301174,0.296020612653879
"88",642,"CHN9","NFNinnescah",-97.909564,37.813036,0.258208978109717,"#5D00FF",33856.6841178937,0.23519313304721,0.0383404864091559,0.375679542203147,0.0463519313304721,0.304434907010014
"89",652,"CIM1","Cimarron",-99.48258,37.02645,0.217692701927019,"#FF8B00",4567.78031786304,0,0.0134554823933581,0.951617520755797,0.0346407099914114,0
"90",661,"CIM2","Cimarron",-99.63211,37.0635,0.176968019680197,"#FF8B00",27379.9808621604,0.00601202404809619,0.0389350128829087,0.908388204981391,0.0426567420555397,0
"91",664,"CIM3","Cimarron",-99.7765,37.03775,0.223485060514343,"#FF8B00",45256.6800491158,0,0.0516203039862346,0.854316030972182,0.0375681101233152,0
"92",673,"CIM4","Cimarron",-100.49239,37.01122,0.231315899852706,"#FF8B00",125429.307078031,0,0.0846681922196796,0.87070938215103,0.0386155606407323,0.00600686498855835
"93",690,"CIM5","Cimarron",-100.65219,37.07038,0.205663070066075,"#FF8B00",150007.866147427,0,0.367189728958631,0.178316690442225,0.000855920114122682,0.00370898716119829
"94",697,"CIM6","Cimarron",-100.66195,37.07182,0.209328736824783,"#FF8B00",151445.606492305,0.00372599598738894,0.451991974777873,0.132129550014331,0.000859845227858985,0.00143307537976498
"95",706,"CIM7","Cimarron",-100.66858,37.07943,0.238710744122104,"#FF8B00",153534.397224668,0.0126038384417072,0.467487825837869,0.101976511028359,0.0272128329991406,0.041821827556574
"96",720,"CIMAB","Cimarron",-99.637778,37.062706,0.208111247779144,"#FF8B00",28098.6804622195,0.00172067679954115,0.0335531975910525,0.916833954688844,0.0418698021221681,0
"97",724,"CIMABRW1","Cimarron",-99.615206,37.066483,0.201324825748257,"#FF8B00",25692.0149194027,0.0122716894977169,0.0351027397260274,0.892694063926941,0.0410958904109589,0.0134132420091324
"98",728,"CIMAD","Cimarron",-100.506927,37.006088,0.218057434741014,"#FF8B00",127093.966900244,0.00315547905909352,0.0849110728628801,0.806081468732071,0.00143430866322433,0.104417670682731
"99",733,"CIMBB","Cimarron",-99.555402,37.070261,0.22140221402214,"#FF8B00",16360.0341154169,0,0.0587729357798165,0.925745412844037,0.0154816513761468,0
"100",735,"CIMBB2","Cimarron",-99.53309,37.049331,0.221554086374197,"#FF8B00",11773.26447316,0,0.023795871559633,0.973337155963303,0.000286697247706422,0
"101",740,"CIMDA2","Cimarron",-99.700731,37.052819,0.219967883012163,"#FF8B00",37539.0613011703,0,0.122711670480549,0.614702517162471,0.0145881006864989,0
"102",745,"CIMMG","Cimarron",-99.799569,37.030958,0.215810441437748,"#FF8B00",47917.151731415,0,0.0478372959037525,0.842738470352335,0.0100257805786308,0
"103",750,"CIMMG2","Cimarron",-99.830949,37.016021,0.22389606396064,"#FF8B00",52147.6334037583,0,0.0393113342898135,0.828981348637016,0.0140602582496413,0
"104",755,"CIMTW2","Cimarron",-99.488196,37.028878,0.214719318026514,"#FF8B00",5147.4477470689,0,0.0114678899082569,0.967029816513762,0.0212155963302752,0
"105",760,"CIMTW3","Cimarron",-99.462624,37.012874,0.218075884925516,"#FF8B00",1793.3555536489,0,0.0215146299483649,0.96873207114171,0.00975329890992542,0
"106",765,"CLRH2O2","SFNinnescah",-97.63457,37.57649,0.201107011070111,"#5D00FF",16690.2892569957,0.090414878397711,0.00572246065808298,0.311874105865522,0.0560801144492132,0.535908440629471
"107",767,"CNCSC","LowerArk",-97.100633,37.089866,0.258363286120106,"#00B9FF",17433.0851333759,0.211461318051576,0.24269340974212,0.163896848137536,0.0292263610315186,0.346704871060172
"108",775,"COON","SFNinnescah",-97.935568,37.534594,0.245331932485991,"#5D00FF",55288.7214225779,0.0939828080229226,0.00458452722063037,0.743839541547278,0.0303724928366762,0.127220630372493
"109",779,"COW1","LowerArk",-97.84379,37.98472,0.154611555979505,"#00B9FF",178011.442774368,0.228628800917958,0.0507745266781411,0.335628227194492,0.0355708548479633,0.349397590361446
"110",787,"CRCRK1","Cimarron",-100.21098,37.03291,0.238408275327038,"#FF8B00",103676.538491812,0,0.028604118993135,0.901029748283753,0.0503432494279176,0.0200228832951945
"111",806,"CRCRK2","Cimarron",-100.32962,37.09197,0.250316895207381,"#FF8B00",122331.898321268,0.00229292060762396,0.00917168243049584,0.967325881341359,0.0200630553167097,0
"112",826,"CRCRK3","Cimarron",-100.36559,37.21232,0.240731598932671,"#FF8B00",149652.126644101,0.0177345537757437,0.00772311212814645,0.792048054919908,0.0294622425629291,0.149027459954233
"113",846,"DOG","Medicine",-98.82162,37.30948,0.21326192428591,"#00FF2E",79078.3339416401,0,0.0166427546628407,0.929698708751793,0.0338593974175036,0.0197991391678623
"114",851,"ELM1","Medicine",-98.57282,37.27576,0.229501332513325,"#00FF2E",42853.9661320791,0.123640526617058,0.0872925014310246,0.428448769318832,0.310818546078993,0.0171722953634803
"115",857,"ELM2","Medicine",-98.61018,37.38811,0.227998652475659,"#00FF2E",59329.206093659,0.0977637614678899,0.0269495412844037,0.520068807339449,0.0533256880733945,0.301892201834862
"116",867,"ENESC","SaltFork",-99.19666,37.223386,0.135670748926877,"#002EFF",51705.3106211384,0,0.040343347639485,0.915307582260372,0.0443490701001431,0
"117",875,"ETELM1","Medicine",-98.53781,37.36725,0.168665436654367,"#00FF2E",58397.224396325,0.0934097421203438,0.0361031518624642,0.822063037249284,0.0343839541547278,0.0140401146131805
"118",877,"ETMLR1","Medicine",-98.55103,37.24925,0.229558767757935,"#00FF2E",37649.2669404406,0.0372279495990836,0.0220504009163803,0.562142038946163,0.027205040091638,0.351374570446735
"119",887,"GOOSECREEKHWY11","NFNinnescah",-98.1945,37.82398,0.277606422483348,"#5D00FF",72579.7667614893,0.00258397932816537,0.00401952339936836,0.474016652311226,0.0453631926500144,0.474016652311226
"120",897,"INDDS","SaltFork",-99.048232,37.134068,0.16289975399754,"#002EFF",12720.0979403867,0.00343544231319782,0.00171772115659891,0.963927855711423,0.0309189808187804,0
"121",902,"KAWN","LowerArk",-96.972951,37.045428,0.247350708283632,"#00B9FF",0,0.0782459157351677,0.501862997993694,0.123817712811694,0.0220693608483806,0.259673258813414
