"","site","meta","long","lat"
"1","SRC","Colorado",-103.7785998,38.950186
"10","HPSWA","Colorado",-103.429041,38.934414
"15","VDRW","Colorado",-102.657473,38.111934
"23","WHC","Colorado",-102.1396272,38.124478
"33","WMVD","Colorado",-102.618291,38.202576
"40","USBC","Colorado",-102.3138676,38.102932
"50","RC2","Colorado",-103.4850677,38.849166
"58","UTFC2","Colorado",-104.7215483,38.679607
"63","BSQ","Colorado",-104.389195,38.44121
"73","HCR","Colorado",-104.809034,39.497818
"78","2008-24","NFNinnescah",-97.86792,37.74844
"88","4THST","LowerArk",-97.99403,38.05728
"90","AMBER2","Medicine",-98.61732,37.44715
"98","ARK10","LowerArk",-98.49562,38.31265
"108","ARK11","LowerArk",-98.27055,38.19434
"118","ARK13","LowerArk",-97.36924,37.69531
"127","ARK14","LowerArk",-97.36298,37.70825
"129","ARK15","LowerArk",-97.28796,37.56599
"131","ARK16","LowerArk",-98.2065,38.16953
"139","ARK17","LowerArk",-98.11185,38.14462
"148","ARK18","LowerArk",-98.08771,38.13102
"156","ARK19","LowerArk",-97.866691,37.984674
"162","ARK22","LowerArk",-97.30173,37.58532
"165","ARK23","LowerArk",-97.29301,37.57336
"167","ARK4","LowerArk",-98.684,38.35282
"172","ARK5","LowerArk",-98.58244,38.33884
"174","ARK6","LowerArk",-98.46499,38.29079
"184","ARK7","LowerArk",-98.41589,38.26933
"193","ARK8","LowerArk",-98.36144,38.23219
"202","ARK9","LowerArk",-98.3203,38.20866
"211","BIGSAND","Cimarron",-99.78689,37.04468
"214","BLUFF","Cimarron",-99.68433,37.3077
"222","BLUFF160","Cimarron",-99.50246,37.19238
"226","BLUFFTW","Cimarron",-99.477247,37.02709
"231","BWWA1","SFNinnescah",-98.27871,37.65186
"237","BWWA10","SFNinnescah",-98.254876,37.644541
"247","BWWA11","SFNinnescah",-98.26425,37.64511
"257","BWWA12","SFNinnescah",-98.25762,37.6431
"266","BWWA2","SFNinnescah",-98.27998,37.65656
"276","BWWA3","SFNinnescah",-98.28032,37.65772
"285","BWWA4","SFNinnescah",-98.27396,37.65816
"294","BWWA5","SFNinnescah",-98.26528,37.66079
"304","BWWA6","SFNinnescah",-98.27589,37.65286
"314","BWWA7","SFNinnescah",-98.33222,37.63909
"324","BWWA8","SFNinnescah",-98.30518,37.63691
"334","BWWA9","SFNinnescah",-98.30233,37.64219
"342","CAL160","Cimarron",-99.459615,37.192492
"351","CARYP","LowerArk",-97.92588,38.0271
"360","CAV1","Cimarron",-99.34599,37.26467
"370","CAV2","Cimarron",-99.35143,37.2383
"379","CCBS","Cimarron",-100.161843,37.01395
"384","CCDC","LowerArk",-97.96673,38.07059
"393","CHIK1","Chikaskia",-98.44981,37.51486
"399","CHIK10","Chikaskia",-98.08385,37.45729
"408","CHIK11","Chikaskia",-98.0815,37.44556
"424","CHIK12","Chikaskia",-98.05421,37.42858
"427","CHIK13","Chikaskia",-98.04478,37.43978
"436","CHIK14","Chikaskia",-98.02432,37.45803
"438","CHIK15","Chikaskia",-98.00928,37.45808
"441","CHIK16","Chikaskia",-97.9898,37.4384
"446","CHIK17","Chikaskia",-97.90465,37.36702
"452","CHIK18","Chikaskia",-97.85062,37.37137
"457","CHIK19","Chikaskia",-97.86757,37.34221
"465","CHIK2","Chikaskia",-98.44658,37.51179
"470","CHIK21","Chikaskia",-97.80236,37.25002
"473","CHIK22","Chikaskia",-97.83985,37.30439
"477","CHIK23","Chikaskia",-97.80837,37.28528
"489","CHIK24","Chikaskia",-97.767251,37.246785
"491","CHIK25","Chikaskia",-97.76067,37.244
"499","CHIK26","Chikaskia",-97.77969,37.25621
"507","CHIK27","Chikaskia",-97.70844,37.25624
"510","CHIK3","Chikaskia",-98.42821,37.48528
"516","CHIK4","Chikaskia",-98.37337,37.47151
"525","CHIK5","Chikaskia",-98.33998,37.48581
"527","CHIK6","Chikaskia",-98.2821,37.47369
"545","CHIK7","Chikaskia",-98.20168,37.44685
"554","CHIK8","Chikaskia",-98.18209,37.4714
"563","CHIK9","Chikaskia",-98.1632,37.43876
"571","CHN1","NFNinnescah",-97.91703,37.83875
"580","CHN10","NFNinnescah",-97.897718,37.815516
"586","CHN2","NFNinnescah",-97.83884,37.72523
"596","CHN3","NFNinnescah",-97.89163,37.77217
"605","CHN4","NFNinnescah",-97.87919,37.75976
"611","CHN5","NFNinnescah",-97.84568,37.73985
"620","CHN6","NFNinnescah",-97.82925,37.72228
"630","CHN7","NFNinnescah",-97.89909,37.8251
"639","CHN8","NFNinnescah",-97.90273,37.802728
"642","CHN9","NFNinnescah",-97.909564,37.813036
"652","CIM1","Cimarron",-99.48258,37.02645
"661","CIM2","Cimarron",-99.63211,37.0635
"664","CIM3","Cimarron",-99.7765,37.03775
"673","CIM4","Cimarron",-100.49239,37.01122
"690","CIM5","Cimarron",-100.65219,37.07038
"697","CIM6","Cimarron",-100.66195,37.07182
"706","CIM7","Cimarron",-100.66858,37.07943
"720","CIMAB","Cimarron",-99.637778,37.062706
"724","CIMABRW1","Cimarron",-99.615206,37.066483
"728","CIMAD","Cimarron",-100.506927,37.006088
"733","CIMBB","Cimarron",-99.555402,37.070261
"735","CIMBB2","Cimarron",-99.53309,37.049331
"740","CIMDA2","Cimarron",-99.700731,37.052819
"745","CIMMG","Cimarron",-99.799569,37.030958
"750","CIMMG2","Cimarron",-99.830949,37.016021
"755","CIMTW2","Cimarron",-99.488196,37.028878
"760","CIMTW3","Cimarron",-99.462624,37.012874
"765","CLRH2O2","SFNinnescah",-97.63457,37.57649
"767","CNCSC","LowerArk",-97.100633,37.089866
"775","COON","SFNinnescah",-97.935568,37.534594
"779","COW1","LowerArk",-97.84379,37.98472
"787","CRCRK1","Cimarron",-100.21098,37.03291
"806","CRCRK2","Cimarron",-100.32962,37.09197
"826","CRCRK3","Cimarron",-100.36559,37.21232
"846","DOG","Medicine",-98.82162,37.30948
"851","ELM1","Medicine",-98.57282,37.27576
"857","ELM2","Medicine",-98.61018,37.38811
"867","ENESC","SaltFork",-99.19666,37.223386
"875","ETELM1","Medicine",-98.53781,37.36725
"877","ETMLR1","Medicine",-98.55103,37.24925
"887","GOOSECREEKHWY11","NFNinnescah",-98.1945,37.82398
"897","INDDS","SaltFork",-99.048232,37.134068
"902","KAWN","LowerArk",-96.972951,37.045428
"912","KC160","Cimarron",-99.468415,37.19247
"922","KDOT1","SFNinnescah",-98.24527,37.64638
"930","KMCP","SFNinnescah",-98.111802,37.641212
"934","LSMC","SFNinnescah",-97.84442,37.58649
"943","MLPARK1","Medicine",-98.57507,37.27793
"951","MLPARK2","Medicine",-98.57575,37.27649
"961","MLR1","Medicine",-98.59007,37.27553
"970","MLR3","Medicine",-98.469581,37.039456
"976","MLR4","Medicine",-98.52927,37.15624
"985","MLR5","Medicine",-98.63367,37.28673
"988","MLR6","Medicine",-98.65923,37.29271
"992","MLR8","Medicine",-98.82143,37.3413
"995","MLR9","Medicine",-99.11317,37.43661
"1002","MLR-A","Medicine",-98.91833,37.36983
"1007","MLRBB","Medicine",-98.556693,37.228776
"1012","MLRHA","Medicine",-98.925473,37.370407
"1017","MLRLW","Medicine",-98.591065,37.263947
"1022","MLRLW2","Medicine",-98.595452,37.270713
"1024","MNESC","SaltFork",-99.23279,37.22316
"1030","MULE3","SaltFork",-99.04404,37.28111
"1040","MULE5","SaltFork",-99.20602,37.33461
"1046","MULEJP","SaltFork",-98.980556,37.112351
"1048","NAT","SFNinnescah",-98.64602,37.66363
"1058","NBSC1","NFNinnescah",-98.42899,37.78663
"1068","NELM1","Medicine",-98.71767,37.45623
"1078","NELM2","Medicine",-98.71848,37.47075
"1087","NESS1","Walnut",-99.953936,38.464021
"1103","NESS2","Walnut",-100.052172,38.503783
"1113","NESS3","Walnut",-100.18167,38.53469
"1123","NFN1","NFNinnescah",-98.62206,37.85324
"1132","NFN2","NFNinnescah",-97.78951,37.70328
"1142","NFN3","NFNinnescah",-98.49034,37.91429
"1144","NFN5","NFNinnescah",-98.32584,37.96033
"1151","NFN6","NFNinnescah",-98.10513,37.84977
"1157","NFNINN","NFNinnescah",-98.01358,37.86328
"1162","NFNINNSF","NFNinnescah",-98.5269,37.91027
"1167","NFNTS","NFNinnescah",-97.737699,37.613479
"1172","NFOLD14","NFNinnescah",-98.17896,37.9045
"1180","NINNR1","SFNinnescah",-97.69138,37.56208
"1184","NTELM","Medicine",-98.65506,37.45625
"1187","NTNR1","SFNinnescah",-97.56127,37.51865
"1197","OKLA","Cimarron",-99.4553,36.99892
"1202","PAINTER","SFNinnescah",-98.39211,37.58871
"1212","PECK","LowerArk",-98.24692,38.1588
"1218","QNWR1","Rattlesnake",-98.50794,38.10052
"1227","QNWR2","Rattlesnake",-98.5,38.13263
"1229","QNWR3","Rattlesnake",-98.543289,38.158178
"1236","QNWR4","Rattlesnake",-98.55292,38.16189
"1246","QNWR5","Rattlesnake",-98.55656,38.1604
"1254","QNWR6","Rattlesnake",-98.57553,38.15858
"1264","QNWR7","Rattlesnake",-98.54501,38.20189
"1270","QNWR8","Rattlesnake",-98.48615,38.22254
"1278","RATT2016","Rattlesnake",-98.38023,38.23193
"1281","RATTLE1","Rattlesnake",-98.922868,37.858188
"1291","RATTLE2","Rattlesnake",-98.85284,37.880905
"1301","RATTLE3","Rattlesnake",-98.878166,37.867076
"1310","RATTLE4","Rattlesnake",-98.98591,37.83914
"1318","RATTLE5","Rattlesnake",-98.80733,37.97086
"1322","RATTLE6","Rattlesnake",-98.71805,38.08023
"1332","RATTLE7","Rattlesnake",-98.71077,38.08563
"1341","RATTLE8","Rattlesnake",-98.67424,38.08025
"1349","RATTLE9","Rattlesnake",-98.546,38.09336
"1351","RRC","NFNinnescah",-98.01379,37.9018
"1359","SAND1","Chikaskia",-98.42905,37.38552
"1368","SAND2","Chikaskia",-98.28194,37.4175
"1377","SAND3","Chikaskia",-98.28191,37.41125
"1386","SANDKM","SFNinnescah",-97.97228,37.58982
"1391","SANDSG","SFNinnescah",-97.77098,37.50294
"1399","SFARDJ","SaltFork",-99.162801,37.091044
"1404","SFN1","SFNinnescah",-98.11176,37.6412
"1412","SFNDB","SFNinnescah",-98.417577,37.661645
"1414","SFNJM","SFNinnescah",-98.366483,37.642316
"1419","SFNMB","SFNinnescah",-98.09923,37.63677
"1423","SFNR1","SFNinnescah",-98.64508,37.64548
"1433","SFNR2","SFNinnescah",-98.67993,37.63141
"1439","SFNR3","SFNinnescah",-98.736533,37.633405
"1442","SFNR4","SFNinnescah",-98.76689,37.63992
"1451","SFNR5","SFNinnescah",-97.77283,37.60068
"1458","SFNR6","SFNinnescah",-98.55657,37.6584
"1468","SFNR7","SFNinnescah",-97.97243,37.60412
"1472","SFNR8","SFNinnescah",-97.91229,37.56114
"1480","SILVER01","NFNinnescah",-98.32166,37.82431
"1489","SILVERH2O","NFNinnescah",-98.252983,37.85173
"1499","SLATE1","LowerArk",-97.642435,37.419675
"1502","SLATE2","LowerArk",-97.749168,37.430152
"1505","SLATE3","LowerArk",-97.733499,37.444234
"1507","SLATE4","LowerArk",-97.731541,37.445164
"1516","SNAKE","Cimarron",-99.60752,37.06238
"1519","SOLD","Medicine",-99.03834,37.43808
"1524","SPNGR1","SpringRiver",-94.64565,37.18446
"1534","SPRINGSG","SFNinnescah",-97.57556,37.5333
"1544","STSC1","SpringRiver",-94.619135,37.02919
"1551","TBSY","Cimarron",-100.14477,37.17114
"1553","TCHA","Medicine",-98.924523,37.374674
"1558","TEASLY","SFNinnescah",-98.76891,37.63631
"1563","TNFN1","NFNinnescah",-97.77153,37.6497
"1573","TNFNHWY50","NFNinnescah",-98.33718,37.98412
"1583","TURKY","Medicine",-98.9485,37.49939
"1593","USMC","SFNinnescah",-98.12421,37.74847
"1603","WALNUT","LowerArk",-98.68261,38.35423
"1611","WELM","Medicine",-98.77396,37.43821
"1616","WOLF01","NFNinnescah",-98.32512,37.8305
"1624","WSU1","SFNinnescah",-97.94712,37.67714
"1634","WSU2","SFNinnescah",-97.95137,37.67976
"1639","WSU3","SFNinnescah",-97.95135,37.68016
"1649","WSU4","SFNinnescah",-97.94579,37.68061
"1659","ZANG","SFNinnescah",-98.77637,37.64541
"1669","ZBAR1","SaltFork",-98.987271,37.103899
"1670","ZBAR2","SaltFork",-98.991953,37.092788
"1676","JCC","Colorado",-104.6887155,38.68448
"1685","BSC","Colorado",-104.2020784,39.101569
"1691","UTFC","Colorado",-104.596428,38.439703
"1702","BFC","Colorado",-102.3112995,38.148682
"1714","RSHC","Colorado",-103.346613,38.793115
"1725","HESPR","SpringRiver",-94.2711,36.2593
"1735","LIBR","SpringRiver",-94.227,36.288
"1745","PAHO","SpringRiver",-94.407,36.226
"1755","SVGC","SpringRiver",-94.227,36.288
"1765","TUSPR","SpringRiver",-94.3026,36.1522
"1775","WISPR","SpringRiver",-94.1842,36.1065
